Frequency (Hz)	Level (dB)
0.732422	-88.832870
1.464844	-94.534027
2.197266	-93.862038
2.929688	-88.170174
3.662109	-83.128998
4.394531	-80.012718
5.126953	-80.431465
5.859375	-80.565277
6.591797	-80.394516
7.324219	-79.974869
8.056641	-79.095398
8.789063	-77.151428
9.521484	-76.040245
10.253906	-74.971046
10.986328	-73.520058
11.718750	-70.872475
12.451172	-71.309761
13.183594	-73.239609
13.916016	-73.284622
14.648438	-71.847588
15.380859	-70.624260
16.113281	-71.554695
16.845703	-66.200119
17.578125	-62.080303
18.310547	-60.881454
19.042969	-65.700623
19.775391	-66.476517
20.507813	-67.236595
21.240234	-64.231743
21.972656	-67.731682
22.705078	-68.065796
23.437500	-70.801201
24.169922	-72.760727
24.902344	-73.719307
25.634766	-72.742104
26.367188	-70.904312
27.099609	-70.233139
27.832031	-69.220619
28.564453	-65.439743
29.296875	-63.646675
30.029297	-62.619820
30.761719	-61.935780
31.494141	-63.186485
32.226563	-66.284431
32.958984	-67.132065
33.691406	-70.206924
34.423828	-68.202919
35.156250	-69.174576
35.888672	-72.288452
36.621094	-69.556580
37.353516	-69.552200
38.085938	-68.927048
38.818359	-70.257416
39.550781	-69.552727
40.283203	-69.044830
41.015625	-70.412987
41.748047	-72.197784
42.480469	-59.767197
43.212891	-58.114532
43.945313	-68.907692
44.677734	-77.511002
45.410156	-75.150017
46.142578	-73.785759
46.875000	-75.911316
47.607422	-79.192963
48.339844	-80.278137
49.072266	-80.244583
49.804688	-78.653687
50.537109	-75.704941
51.269531	-75.650436
52.001953	-75.527985
52.734375	-77.193359
53.466797	-78.496620
54.199219	-77.119804
54.931641	-75.802757
55.664063	-77.782333
56.396484	-78.979645
57.128906	-80.755913
57.861328	-79.740997
58.593750	-80.065010
59.326172	-79.019890
60.058594	-79.100731
60.791016	-78.140945
61.523438	-75.280121
62.255859	-73.387543
62.988281	-72.544319
63.720703	-70.987816
64.453125	-72.272797
65.185547	-72.150970
65.917969	-71.987114
66.650391	-70.536713
67.382813	-70.552544
68.115234	-71.000084
68.847656	-72.679955
69.580078	-74.164459
70.312500	-75.238541
71.044922	-74.673111
71.777344	-73.178070
72.509766	-72.239578
73.242188	-71.920105
73.974609	-71.513901
