Frequency (Hz)	Level (dB)
0.732422	-89.497688
1.464844	-93.247063
2.197266	-93.579750
2.929688	-89.992523
3.662109	-87.653221
4.394531	-83.748955
5.126953	-84.899773
5.859375	-85.941490
6.591797	-87.094215
7.324219	-87.484596
8.056641	-86.723930
8.789063	-85.428017
9.521484	-82.906410
10.253906	-79.766762
10.986328	-78.805603
11.718750	-78.586647
12.451172	-78.555153
13.183594	-78.473907
13.916016	-76.640923
14.648438	-72.962532
15.380859	-72.813339
16.113281	-70.039986
16.845703	-64.981651
17.578125	-62.175156
18.310547	-62.088333
19.042969	-65.273094
19.775391	-66.489304
20.507813	-65.632942
21.240234	-65.432190
21.972656	-66.333908
22.705078	-66.299202
23.437500	-67.776810
24.169922	-72.610756
24.902344	-73.691315
25.634766	-74.178291
26.367188	-71.650040
27.099609	-68.047760
27.832031	-66.752274
28.564453	-65.112579
29.296875	-59.987595
30.029297	-59.316078
30.761719	-60.926987
31.494141	-63.058567
32.226563	-61.756760
32.958984	-64.226120
33.691406	-67.709747
34.423828	-68.722969
35.156250	-67.577179
35.888672	-68.068275
36.621094	-67.483910
37.353516	-65.660416
38.085938	-63.864456
38.818359	-66.848022
39.550781	-71.264679
40.283203	-70.648460
41.015625	-71.865219
41.748047	-74.882538
42.480469	-62.316666
43.212891	-58.160667
43.945313	-64.998993
44.677734	-73.934898
45.410156	-70.511398
46.142578	-71.796570
46.875000	-76.470840
47.607422	-79.698235
48.339844	-79.184563
49.072266	-77.493675
49.804688	-75.027802
50.537109	-77.243156
51.269531	-75.345261
52.001953	-74.198540
52.734375	-76.739517
53.466797	-75.186905
54.199219	-75.527939
54.931641	-78.643555
55.664063	-79.967644
56.396484	-80.515701
57.128906	-78.761879
57.861328	-78.513824
58.593750	-80.308990
59.326172	-78.632347
60.058594	-75.244652
60.791016	-77.315125
61.523438	-73.756645
62.255859	-75.401520
62.988281	-75.117508
63.720703	-74.055145
64.453125	-74.251778
65.185547	-74.499695
65.917969	-72.075790
66.650391	-70.397484
67.382813	-72.331131
68.115234	-75.690804
68.847656	-74.687035
69.580078	-75.393173
70.312500	-77.036118
71.044922	-78.770767
71.777344	-78.847130
72.509766	-75.652321
73.242188	-74.238136
73.974609	-77.218674
74.707031	-72.935852
75.439453	-72.822960
76.171875	-75.346397
76.904297	-76.666969
77.636719	-79.817474
78.369141	-78.791687
79.101563	-78.492126
79.833984	-77.441833
80.566406	-76.352036
81.298828	-75.599419
82.031250	-76.278030
82.763672	-76.529915
83.496094	-77.972878
84.228516	-76.650322
84.960938	-76.438866
85.693359	-67.457939
86.425781	-64.851898
87.158203	-71.419891
87.890625	-72.617447
88.623047	-70.424866
89.355469	-72.304932
90.087891	-73.049591
90.820313	-71.423660
91.552734	-70.215157
92.285156	-70.599365
93.017578	-72.290192
93.750000	-72.225838
94.482422	-72.530693
95.214844	-72.950287
95.947266	-71.888077
96.679688	-71.021111
97.412109	-69.306412
98.144531	-70.962364
98.876953	-72.195824
99.609375	-69.401848
100.341797	-70.208473
101.074219	-70.148598
101.806641	-66.767380
102.539063	-64.885284
103.271484	-65.392700
104.003906	-65.367516
104.736328	-67.057220
105.468750	-65.799500
106.201172	-66.065239
106.933594	-66.531120
107.666016	-66.029030
108.398438	-63.956718
109.130859	-63.560638
109.863281	-63.799881
110.595703	-63.933910
111.328125	-64.966461
112.060547	-66.105316
112.792969	-67.866638
113.525391	-68.454926
114.257813	-69.310028
114.990234	-69.136848
115.722656	-70.885704
116.455078	-73.616859
117.187500	-74.677368
117.919922	-71.807709
118.652344	-71.587372
119.384766	-55.767052
120.117188	-50.902786
120.849609	-57.294624
121.582031	-68.546944
122.314453	-68.251930
123.046875	-69.255440
123.779297	-70.506012
124.511719	-71.954231
125.244141	-72.235268
125.976563	-70.017586
126.708984	-69.422432
127.441406	-71.982162
128.173828	-70.543442
128.906250	-66.505661
129.638672	-65.587936
130.371094	-69.053207
131.103516	-68.589622
131.835938	-65.314178
132.568359	-66.145592
133.300781	-71.956802
134.033203	-71.495392
134.765625	-68.059097
135.498047	-70.321510
136.230469	-72.365173
136.962891	-63.158733
137.695313	-54.712132
138.427734	-53.076427
139.160156	-63.426521
139.892578	-69.433380
140.625000	-69.589935
141.357422	-69.211327
142.089844	-68.365913
142.822266	-67.599030
143.554688	-70.232635
144.287109	-70.759163
145.019531	-71.000473
145.751953	-71.479057
146.484375	-72.598869
147.216797	-71.088196
147.949219	-69.462807
148.681641	-67.816292
149.414063	-67.979134
150.146484	-67.176445
150.878906	-68.138649
151.611328	-68.796608
152.343750	-69.777618
153.076172	-70.076691
153.808594	-70.202011
154.541016	-68.808022
155.273438	-70.336433
156.005859	-70.146278
156.738281	-70.063644
157.470703	-66.783401
158.203125	-68.141510
158.935547	-68.393105
159.667969	-68.253265
160.400391	-67.209824
161.132813	-67.461342
161.865234	-68.839500
162.597656	-69.627655
163.330078	-69.411461
164.062500	-68.524590
164.794922	-69.187218
165.527344	-68.358841
166.259766	-68.243530
166.992188	-67.515579
167.724609	-68.372704
168.457031	-69.783363
169.189453	-70.124367
169.921875	-70.416122
170.654297	-71.697281
171.386719	-71.360046
172.119141	-66.455254
172.851563	-64.972298
173.583984	-68.177322
174.316406	-68.456139
175.048828	-68.031631
175.781250	-69.936691
176.513672	-71.035027
177.246094	-70.909859
177.978516	-73.380043
178.710938	-77.108521
179.443359	-75.291420
180.175781	-72.617020
180.908203	-72.632965
181.640625	-73.850960
182.373047	-72.031120
183.105469	-71.301308
183.837891	-69.260094
184.570313	-70.277069
185.302734	-72.491302
186.035156	-71.830734
186.767578	-73.932068
187.500000	-73.829498
188.232422	-71.805481
188.964844	-71.615356
189.697266	-72.458450
190.429688	-71.446350
191.162109	-71.768196
191.894531	-72.432953
192.626953	-73.359764
193.359375	-71.913826
194.091797	-72.721756
194.824219	-72.736046
195.556641	-74.768044
196.289063	-74.803894
197.021484	-74.680756
197.753906	-73.969849
198.486328	-73.087250
199.218750	-73.600571
199.951172	-74.507286
200.683594	-72.701622
201.416016	-73.893822
202.148438	-74.095474
202.880859	-75.092102
203.613281	-75.944733
204.345703	-72.047920
205.078125	-70.034897
205.810547	-68.692101
206.542969	-69.386864
207.275391	-69.761681
