Frequency (Hz)	Level (dB)
212.402344	-77.547043
213.134766	-79.196930
213.867188	-78.615372
214.599609	-80.075272
215.332031	-79.393509
216.064453	-78.689941
216.796875	-79.974884
217.529297	-79.824966
218.261719	-80.048050
218.994141	-80.114662
219.726563	-80.761841
220.458984	-80.616112
221.191406	-79.146378
221.923828	-79.525978
222.656250	-77.642761
223.388672	-76.734932
224.121094	-76.206490
224.853516	-75.686325
225.585938	-76.320694
226.318359	-77.157104
227.050781	-77.575645
227.783203	-76.020401
228.515625	-77.064606
229.248047	-76.923813
229.980469	-76.174759
230.712891	-77.258797
231.445313	-78.415298
232.177734	-79.607414
232.910156	-79.023979
233.642578	-80.921234
234.375000	-78.889763
235.107422	-77.505836
235.839844	-78.697624
236.572266	-78.205391
237.304688	-77.636314
238.037109	-78.529343
238.769531	-81.388847
239.501953	-73.147545
240.234375	-71.830063
240.966797	-79.493843
241.699219	-80.805626
242.431641	-79.397392
243.164063	-80.761673
243.896484	-82.854881
244.628906	-82.663231
245.361328	-82.490395
246.093750	-82.068428
246.826172	-80.163544
247.558594	-78.612030
248.291016	-78.891647
249.023438	-78.663612
249.755859	-80.495392
250.488281	-79.613976
251.220703	-74.861595
251.953125	-75.740852
252.685547	-81.127144
253.417969	-80.381401
254.150391	-79.181305
254.882813	-79.096497
255.615234	-78.129623
256.347656	-78.644958
257.080078	-76.073303
257.812500	-78.228958
258.544922	-80.082947
259.277344	-80.164665
260.009766	-79.081932
260.742188	-79.568405
261.474609	-80.261864
262.207031	-80.355583
262.939453	-76.424400
263.671875	-73.942444
264.404297	-76.236259
265.136719	-77.797600
265.869141	-76.485023
266.601563	-77.422073
267.333984	-77.827805
268.066406	-78.165123
268.798828	-77.090027
269.531250	-76.875832
270.263672	-78.286003
270.996094	-79.807106
271.728516	-80.420097
272.460938	-80.237198
273.193359	-80.960495
273.925781	-81.424126
274.658203	-81.279259
275.390625	-80.840591
276.123047	-82.422455
276.855469	-84.694153
277.587891	-83.447815
278.320313	-82.070068
279.052734	-80.757126
279.785156	-78.244194
280.517578	-78.020203
281.250000	-77.363289
281.982422	-76.014114
282.714844	-74.568268
283.447266	-74.035439
284.179688	-72.007492
284.912109	-72.602898
285.644531	-74.296669
286.376953	-74.846138
287.109375	-76.533585
287.841797	-79.597694
288.574219	-82.342606
289.306641	-80.890800
290.039063	-81.227371
290.771484	-82.359627
291.503906	-83.444344
292.236328	-84.017662
292.968750	-81.846153
293.701172	-81.905777
294.433594	-84.052147
295.166016	-83.178925
295.898438	-83.970154
296.630859	-82.412949
297.363281	-83.343925
298.095703	-84.749222
298.828125	-82.547302
299.560547	-83.097267
300.292969	-83.118134
301.025391	-80.278587
301.757813	-79.796989
302.490234	-81.072250
303.222656	-82.777687
303.955078	-82.201881
304.687500	-79.746338
305.419922	-78.769485
306.152344	-80.561714
306.884766	-82.798615
307.617188	-81.725822
308.349609	-81.648674
309.082031	-81.845245
309.814453	-82.470596
310.546875	-80.953888
311.279297	-81.932747
312.011719	-83.395729
312.744141	-83.427856
313.476563	-79.392967
314.208984	-76.392792
314.941406	-76.042694
315.673828	-78.414856
316.406250	-79.286560
317.138672	-77.531143
317.871094	-78.510338
318.603516	-78.854576
319.335938	-78.860321
320.068359	-80.363205
320.800781	-81.123428
321.533203	-81.276009
322.265625	-82.773552
322.998047	-83.052383
323.730469	-84.611740
324.462891	-85.572540
325.195313	-85.805817
325.927734	-87.698997
326.660156	-86.716530
327.392578	-84.180801
328.125000	-82.038483
328.857422	-79.542221
329.589844	-79.792397
330.322266	-80.166092
331.054688	-80.061646
331.787109	-80.486847
332.519531	-80.334007
333.251953	-81.897636
333.984375	-82.815895
334.716797	-84.902855
335.449219	-84.141624
336.181641	-80.749397
336.914063	-80.901733
337.646484	-82.914375
338.378906	-83.943680
339.111328	-82.592163
339.843750	-81.971642
340.576172	-81.636604
341.308594	-81.919006
342.041016	-82.781738
342.773438	-82.053658
343.505859	-82.156334
344.238281	-83.340225
344.970703	-85.185791
345.703125	-87.348289
346.435547	-86.043365
347.167969	-83.761559
347.900391	-84.850815
348.632813	-86.627831
349.365234	-86.902718
350.097656	-85.628593
350.830078	-82.396011
351.562500	-84.641129
352.294922	-83.284904
353.027344	-84.583031
353.759766	-85.098099
354.492188	-84.431068
355.224609	-85.158676
355.957031	-85.727280
356.689453	-84.378197
357.421875	-85.467094
358.154297	-86.327675
358.886719	-90.011436
359.619141	-85.408852
360.351563	-83.669205
361.083984	-85.054001
361.816406	-84.253830
362.548828	-84.426956
363.281250	-84.644508
364.013672	-83.598389
364.746094	-84.123833
365.478516	-85.649872
366.210938	-86.141396
366.943359	-88.237839
367.675781	-89.163460
368.408203	-89.616791
369.140625	-88.337891
369.873047	-88.240479
370.605469	-88.752861
371.337891	-87.312897
372.070313	-85.134109
372.802734	-84.632057
373.535156	-86.017082
374.267578	-87.528114
375.000000	-88.783615
375.732422	-87.650986
376.464844	-85.790543
377.197266	-86.414787
377.929688	-88.672874
378.662109	-88.891945
379.394531	-88.694588
380.126953	-89.244736
380.859375	-89.933662
381.591797	-87.823639
382.324219	-86.537506
383.056641	-85.659637
383.789063	-84.649269
384.521484	-86.534935
385.253906	-86.563637
385.986328	-86.401756
386.718750	-86.811150
387.451172	-86.628563
388.183594	-88.521309
388.916016	-89.500252
389.648438	-87.113777
390.380859	-86.106880
391.113281	-87.601028
391.845703	-88.843018
392.578125	-87.673340
393.310547	-86.040077
394.042969	-85.796051
394.775391	-88.159218
395.507813	-85.904953
396.240234	-85.861382
396.972656	-87.329567
397.705078	-87.861145
398.437500	-89.943993
399.169922	-90.657547
399.902344	-87.735718
400.634766	-87.982109
401.367188	-89.831711
402.099609	-89.924217
402.832031	-88.727669
403.564453	-89.306793
404.296875	-89.065880
405.029297	-90.936035
405.761719	-90.598495
406.494141	-89.725037
407.226563	-88.197548
407.958984	-86.416183
408.691406	-85.050659
409.423828	-85.345909
410.156250	-84.705025
410.888672	-84.864052
411.621094	-86.428093
412.353516	-88.932785
413.085938	-87.659836
413.818359	-87.723373
414.550781	-86.967598
415.283203	-87.481613
416.015625	-86.927109
416.748047	-87.538979
417.480469	-86.811501
418.212891	-87.716866
418.945313	-87.027855
419.677734	-87.592819
420.410156	-86.370590
421.142578	-89.009003
421.875000	-91.555115
422.607422	-89.074501
423.339844	-88.817719
424.072266	-89.370712
424.804688	-90.369743
425.537109	-91.097710
426.269531	-90.657593
427.001953	-90.697983
427.734375	-92.345184
428.466797	-93.216698
429.199219	-91.661438
429.931641	-88.977661
430.664063	-86.995552
431.396484	-87.107910
432.128906	-86.239830
432.861328	-85.279854
433.593750	-84.664078
434.326172	-86.343864
435.058594	-85.982002
435.791016	-86.134171
436.523438	-87.665932
437.255859	-88.342834
437.988281	-86.945015
438.720703	-88.066566
439.453125	-88.632965
440.185547	-89.647675
440.917969	-88.993256
441.650391	-88.781013
442.382813	-85.969444
443.115234	-86.766014
443.847656	-88.111938
444.580078	-87.135674
445.312500	-86.310905
446.044922	-85.186394
446.777344	-85.878815
447.509766	-85.089569
448.242188	-84.921463
448.974609	-86.747215
449.707031	-89.882141
450.439453	-87.148933
451.171875	-86.852211
451.904297	-87.297928
452.636719	-85.947441
453.369141	-86.626511
454.101563	-84.972771
454.833984	-84.922211
455.566406	-86.083618
456.298828	-84.762123
457.031250	-85.248413
457.763672	-84.772720
458.496094	-84.579941
459.228516	-83.661407
459.960938	-82.826172
460.693359	-84.417847
461.425781	-85.291367
462.158203	-84.845787
462.890625	-86.815071
463.623047	-88.591644
464.355469	-87.264862
465.087891	-87.149307
465.820313	-88.269295
466.552734	-88.945412
467.285156	-87.084610
468.017578	-87.135994
468.750000	-86.891273
469.482422	-86.106049
470.214844	-86.760910
470.947266	-86.768333
471.679688	-86.546631
472.412109	-86.944847
473.144531	-87.770157
473.876953	-86.814499
474.609375	-86.430023
475.341797	-86.461357
476.074219	-88.182037
476.806641	-88.238960
477.539063	-87.448509
478.271484	-87.179756
479.003906	-89.052811
479.736328	-89.275200
480.468750	-89.763367
481.201172	-91.077477
481.933594	-88.386215
482.666016	-86.906517
483.398438	-88.142929
484.130859	-89.790146
484.863281	-89.234070
485.595703	-89.428192
486.328125	-92.516411
487.060547	-92.691391
487.792969	-90.823151
488.525391	-91.745804
489.257813	-91.909866
489.990234	-90.627922
490.722656	-89.927742
491.455078	-89.539459
492.187500	-91.839432
492.919922	-91.818703
493.652344	-91.604477
494.384766	-89.973732
495.117188	-89.235764
495.849609	-89.822426
496.582031	-89.366882
497.314453	-86.348427
498.046875	-85.754967
498.779297	-86.460861
499.511719	-87.192062
500.244141	-87.908844
500.976563	-90.923134
501.708984	-90.928810
502.441406	-90.783066
503.173828	-91.670860
503.906250	-92.301262
504.638672	-92.040886
505.371094	-90.604248
506.103516	-91.533325
506.835938	-91.661247
507.568359	-91.866745
508.300781	-94.498863
509.033203	-95.565552
509.765625	-91.847443
510.498047	-90.540627
511.230469	-88.577171
511.962891	-89.492340
512.695313	-88.185814
513.427734	-90.176064
514.160156	-90.143745
514.892578	-92.582237
515.625000	-93.019394
516.357422	-94.454269
517.089844	-94.294312
