Frequency (Hz)	Level (dB)
212.402344	-71.943420
213.134766	-68.659279
213.867188	-64.634117
214.599609	-54.697319
215.332031	-47.050659
216.064453	-45.535522
216.796875	-51.454571
217.529297	-63.669163
218.261719	-67.427773
218.994141	-71.057053
219.726563	-71.076759
220.458984	-70.931808
221.191406	-72.711769
221.923828	-73.286285
222.656250	-72.988998
223.388672	-71.933197
224.121094	-72.407654
224.853516	-73.745232
225.585938	-76.957512
226.318359	-78.428207
227.050781	-75.622475
227.783203	-73.607658
228.515625	-74.199150
229.248047	-74.750359
229.980469	-74.181076
230.712891	-76.595688
231.445313	-75.928116
232.177734	-77.266853
232.910156	-79.791626
233.642578	-77.895226
234.375000	-78.054993
235.107422	-77.002510
235.839844	-76.546440
236.572266	-76.815826
237.304688	-76.114334
238.037109	-75.221832
238.769531	-75.880508
239.501953	-69.961006
240.234375	-67.767151
240.966797	-74.569023
241.699219	-71.831772
242.431641	-71.883926
243.164063	-73.990547
243.896484	-75.696877
244.628906	-77.425545
245.361328	-77.361275
246.093750	-75.447784
246.826172	-76.283607
247.558594	-80.369324
248.291016	-79.887405
249.023438	-79.073746
249.755859	-77.731628
250.488281	-75.472000
251.220703	-73.051277
251.953125	-73.678062
252.685547	-75.217705
253.417969	-74.753761
254.150391	-74.263214
254.882813	-77.172371
255.615234	-77.198769
256.347656	-75.401558
257.080078	-72.330284
257.812500	-70.877167
258.544922	-68.816177
259.277344	-67.365570
260.009766	-73.187279
260.742188	-77.615288
261.474609	-77.449356
262.207031	-76.356232
262.939453	-75.048294
263.671875	-74.224777
264.404297	-74.424339
265.136719	-76.604637
265.869141	-77.528679
266.601563	-75.183517
267.333984	-75.396294
268.066406	-76.647942
268.798828	-77.459480
269.531250	-74.638618
270.263672	-73.070900
270.996094	-75.482430
271.728516	-75.365456
272.460938	-74.651123
273.193359	-74.339035
273.925781	-75.603310
274.658203	-76.567780
275.390625	-77.459427
276.123047	-76.580727
276.855469	-76.428268
277.587891	-76.502441
278.320313	-74.524567
279.052734	-74.787338
