Frequency (Hz)	Level (dB)
0.732422	-92.034431
1.464844	-101.580635
2.197266	-100.591141
2.929688	-94.969643
3.662109	-92.392120
4.394531	-88.297356
5.126953	-89.504501
5.859375	-88.271774
6.591797	-88.503693
7.324219	-88.110199
8.056641	-86.334610
8.789063	-86.648720
9.521484	-86.303459
10.253906	-83.292809
10.986328	-79.839180
11.718750	-82.345871
12.451172	-83.281250
13.183594	-85.857666
13.916016	-80.797203
14.648438	-77.488548
15.380859	-78.354843
16.113281	-74.066437
16.845703	-68.526970
17.578125	-67.078552
18.310547	-67.916405
19.042969	-68.622604
19.775391	-70.830429
20.507813	-71.062622
21.240234	-70.405632
21.972656	-72.040268
22.705078	-70.184685
23.437500	-70.984467
24.169922	-74.144714
24.902344	-78.332268
25.634766	-81.207520
26.367188	-74.119003
27.099609	-70.629501
27.832031	-69.965912
28.564453	-68.263115
29.296875	-66.479065
30.029297	-65.322739
30.761719	-66.228897
31.494141	-65.579956
32.226563	-66.474205
32.958984	-70.274811
33.691406	-72.450150
34.423828	-71.240036
35.156250	-71.804764
35.888672	-74.654427
36.621094	-69.399628
37.353516	-68.078491
38.085938	-68.221214
38.818359	-68.893738
39.550781	-71.704742
40.283203	-74.524704
41.015625	-73.210251
41.748047	-75.653358
42.480469	-78.510536
43.212891	-78.584129
43.945313	-78.306244
44.677734	-76.183212
45.410156	-71.975632
46.142578	-71.960281
46.875000	-76.821037
47.607422	-80.616264
48.339844	-79.851105
49.072266	-80.232269
49.804688	-78.428795
50.537109	-76.770203
51.269531	-75.288986
52.001953	-74.058014
52.734375	-74.280174
53.466797	-76.502075
54.199219	-77.614746
54.931641	-80.256622
55.664063	-79.207802
56.396484	-79.176888
57.128906	-81.153526
57.861328	-83.115410
58.593750	-83.941612
59.326172	-81.662231
60.058594	-78.867134
60.791016	-79.019165
61.523438	-78.372749
62.255859	-80.617310
62.988281	-80.498047
63.720703	-80.478493
64.453125	-79.443153
65.185547	-80.162193
65.917969	-79.222496
66.650391	-77.896034
67.382813	-78.112556
68.115234	-80.107895
68.847656	-81.728218
69.580078	-81.320969
70.312500	-80.932297
71.044922	-80.643089
71.777344	-81.949051
72.509766	-83.269188
73.242188	-84.526085
73.974609	-86.867470
74.707031	-84.876617
75.439453	-83.568176
76.171875	-83.602783
76.904297	-83.315521
77.636719	-84.499657
78.369141	-86.640625
79.101563	-85.803574
79.833984	-85.452988
80.566406	-82.809021
81.298828	-83.792397
82.031250	-85.071381
82.763672	-83.460236
83.496094	-82.459297
84.228516	-85.124283
84.960938	-83.792496
85.693359	-83.032661
86.425781	-79.949425
87.158203	-79.852013
87.890625	-82.151680
88.623047	-85.355431
89.355469	-80.989761
90.087891	-76.961075
90.820313	-77.054314
91.552734	-77.052757
92.285156	-78.286919
93.017578	-78.820076
93.750000	-78.153534
94.482422	-78.536865
95.214844	-76.702866
95.947266	-78.660934
96.679688	-77.721848
97.412109	-78.452209
98.144531	-77.252357
98.876953	-76.739723
99.609375	-79.173820
100.341797	-78.222496
101.074219	-74.514687
101.806641	-71.539993
102.539063	-71.119385
103.271484	-71.070229
104.003906	-72.662148
104.736328	-72.656761
105.468750	-69.961975
106.201172	-69.295906
106.933594	-70.666321
107.666016	-68.921402
108.398438	-67.594902
109.130859	-67.970314
109.863281	-70.073486
110.595703	-70.821320
111.328125	-73.026245
112.060547	-72.011467
112.792969	-73.390099
113.525391	-73.203758
114.257813	-73.533127
114.990234	-74.976768
115.722656	-76.425400
116.455078	-77.816788
117.187500	-78.247726
117.919922	-77.170128
118.652344	-74.458923
119.384766	-60.746658
120.117188	-56.990711
120.849609	-65.091789
121.582031	-70.564285
122.314453	-73.443687
123.046875	-73.633125
123.779297	-74.556503
124.511719	-73.837692
125.244141	-74.357002
125.976563	-75.940163
126.708984	-75.645592
127.441406	-74.407967
128.173828	-75.585556
128.906250	-73.586754
129.638672	-73.029526
130.371094	-74.642334
131.103516	-72.998451
131.835938	-69.690231
132.568359	-72.377052
133.300781	-76.667160
134.033203	-73.824089
134.765625	-72.564125
135.498047	-72.768013
136.230469	-70.090508
136.962891	-64.556732
137.695313	-60.319683
138.427734	-60.192398
139.160156	-69.316185
139.892578	-72.537140
140.625000	-72.642784
141.357422	-72.520630
142.089844	-73.936447
142.822266	-74.992500
143.554688	-76.461815
144.287109	-76.332321
145.019531	-75.465698
145.751953	-77.916138
146.484375	-75.414604
147.216797	-75.125160
147.949219	-73.944275
148.681641	-73.933525
149.414063	-74.899269
150.146484	-76.147873
150.878906	-75.231613
151.611328	-73.327164
152.343750	-73.690369
153.076172	-74.107796
153.808594	-75.735924
154.541016	-75.454018
155.273438	-75.140205
156.005859	-75.949799
156.738281	-78.725639
157.470703	-76.804489
158.203125	-75.662796
158.935547	-76.527382
159.667969	-74.611122
160.400391	-70.774139
161.132813	-69.702072
161.865234	-69.982681
162.597656	-71.602020
163.330078	-71.397583
164.062500	-73.275902
164.794922	-71.164474
165.527344	-70.419250
166.259766	-69.858276
166.992188	-69.236488
167.724609	-70.107132
168.457031	-71.039055
169.189453	-72.647415
169.921875	-77.953430
170.654297	-75.020531
171.386719	-73.141785
172.119141	-69.083763
172.851563	-68.042191
173.583984	-66.899643
174.316406	-64.940834
175.048828	-64.945473
175.781250	-65.206871
176.513672	-66.822212
177.246094	-69.763275
177.978516	-72.021568
178.710938	-72.674507
179.443359	-72.114380
180.175781	-70.903549
180.908203	-73.369370
181.640625	-74.467613
182.373047	-74.951996
183.105469	-75.101738
183.837891	-75.465858
184.570313	-74.428658
185.302734	-75.151550
186.035156	-76.167625
186.767578	-74.358376
187.500000	-72.929573
188.232422	-72.346130
188.964844	-74.122162
189.697266	-75.111794
190.429688	-75.599800
191.162109	-77.548813
191.894531	-74.049980
192.626953	-73.048683
193.359375	-73.854012
194.091797	-73.893845
194.824219	-73.727890
195.556641	-76.128067
196.289063	-75.036781
197.021484	-74.565590
197.753906	-74.793060
198.486328	-77.918396
199.218750	-76.824738
199.951172	-73.000206
200.683594	-73.620537
201.416016	-73.551910
202.148438	-72.835365
202.880859	-74.749832
203.613281	-73.593124
204.345703	-73.376083
205.078125	-73.056923
205.810547	-74.018517
206.542969	-76.700897
207.275391	-77.323349
208.007813	-78.029251
208.740234	-76.482224
209.472656	-75.341164
210.205078	-75.622475
210.937500	-77.423164
211.669922	-79.560402
212.402344	-79.387199
213.134766	-78.600014
213.867188	-78.580078
214.599609	-80.916222
215.332031	-79.818382
216.064453	-79.562881
216.796875	-79.688667
217.529297	-79.546455
218.261719	-80.551346
218.994141	-82.177429
219.726563	-81.780846
220.458984	-81.823593
221.191406	-80.492554
221.923828	-79.821266
222.656250	-78.250496
223.388672	-77.698616
224.121094	-77.910820
224.853516	-76.779762
225.585938	-79.090775
226.318359	-77.109032
227.050781	-77.868500
227.783203	-76.704597
228.515625	-76.495827
229.248047	-76.582695
229.980469	-77.352409
230.712891	-79.480522
231.445313	-80.499275
232.177734	-79.017517
232.910156	-78.718819
233.642578	-77.126549
234.375000	-77.772720
235.107422	-79.312271
235.839844	-79.360291
236.572266	-77.529327
237.304688	-76.413498
238.037109	-78.357498
238.769531	-81.279945
239.501953	-73.211197
240.234375	-71.719147
240.966797	-80.067345
241.699219	-82.494553
242.431641	-79.398521
243.164063	-80.200020
243.896484	-81.212868
244.628906	-83.318100
245.361328	-84.210106
246.093750	-80.644753
246.826172	-80.951317
247.558594	-79.013756
248.291016	-78.175552
249.023438	-78.088676
249.755859	-78.916733
250.488281	-80.231148
251.220703	-77.694229
251.953125	-75.323280
252.685547	-78.714684
253.417969	-79.726067
254.150391	-78.972252
254.882813	-80.936234
255.615234	-80.564125
256.347656	-81.777901
257.080078	-76.182854
257.812500	-76.130379
258.544922	-77.350555
259.277344	-77.676277
260.009766	-77.541527
260.742188	-78.658379
261.474609	-78.887390
262.207031	-79.255341
262.939453	-75.866600
263.671875	-75.225044
264.404297	-77.561470
265.136719	-76.673729
265.869141	-79.448921
266.601563	-80.037209
267.333984	-79.603874
268.066406	-79.643456
268.798828	-78.317719
269.531250	-77.098518
270.263672	-77.865463
270.996094	-78.904594
271.728516	-80.882622
272.460938	-80.358063
273.193359	-80.152077
273.925781	-81.808533
274.658203	-80.563309
275.390625	-80.673882
276.123047	-83.456772
276.855469	-85.559517
277.587891	-83.351433
278.320313	-79.972557
279.052734	-77.710800
279.785156	-76.764046
280.517578	-76.349243
281.250000	-76.278893
281.982422	-77.235268
282.714844	-73.184715
283.447266	-72.407028
284.179688	-72.694176
284.912109	-72.769775
285.644531	-74.952110
286.376953	-75.701263
287.109375	-77.519005
287.841797	-77.775978
288.574219	-79.844025
289.306641	-80.116447
290.039063	-79.909004
290.771484	-82.878395
291.503906	-85.582230
292.236328	-82.549118
292.968750	-80.065178
293.701172	-79.120743
294.433594	-80.990532
295.166016	-82.373680
295.898438	-81.811943
296.630859	-82.032738
297.363281	-82.226875
298.095703	-83.114067
298.828125	-82.374634
299.560547	-82.936363
300.292969	-82.007835
301.025391	-82.060471
301.757813	-83.358498
302.490234	-82.760605
303.222656	-80.839386
303.955078	-80.705139
304.687500	-80.661446
305.419922	-80.850151
306.152344	-83.219261
306.884766	-82.854561
307.617188	-82.091049
308.349609	-82.279160
309.082031	-82.737282
309.814453	-82.195885
310.546875	-84.973335
311.279297	-85.864677
312.011719	-84.740715
312.744141	-82.981407
313.476563	-81.533401
314.208984	-77.697174
314.941406	-76.277031
315.673828	-77.861740
316.406250	-80.528931
317.138672	-79.651169
317.871094	-79.186920
318.603516	-79.116852
319.335938	-80.469025
320.068359	-79.516495
320.800781	-78.960106
321.533203	-80.771378
322.265625	-82.372734
322.998047	-85.013939
323.730469	-86.626503
324.462891	-86.185928
325.195313	-87.752045
325.927734	-87.732597
326.660156	-87.510475
327.392578	-85.345886
328.125000	-84.090088
328.857422	-83.226181
329.589844	-80.583809
330.322266	-78.525459
